"Generation Interconnection Number","IFS Queue Number","Current Cluster","Cluster Group"," Nearest Town or County","State","TO at POI","In-Service Date","Commercial Operation Date","Capacity","MAX Summer MW","MAX Winter MW","Service Type","Generation Type","Fuel Type","Substation or Line","Request Received","Date Withdrawn","Status"
"GEN-2022-065","","DISIS-2022-001","03 CENTRAL","Edwards","KS","MKEC",2027-09-04,2027-11-19,145,145,145,"NR","Solar","","tap on Arthur Mullergreen-Spearville 230 kV line",2022-07-25,"","DISIS STAGE"
"GEN-2022-064","","DISIS-2022-001","04 SOUTHEAST","Major","OK","WFEC",2025-01-01,2027-04-01,80,80,80,"ER/NR","Battery/Storage","","Clearville 138 kV Substation",2022-07-22,"","DISIS STAGE"
"GEN-2022-063","","DISIS-2022-001","05 SOUTHWEST","Hutchinson","TX","SPS",2025-06-01,2025-12-31,350,350,350,"NR","Solar","","Pringle 230-115 kV Substation",2022-07-13,"","DISIS STAGE"
"GEN-2022-062","","DISIS-2022-001","03 CENTRAL","Bourbon","KS","WERE",2025-04-01,2025-12-31,200,200,200,"ER/NR","Solar","","Wolf Creek- Blackberry 345 kV",2022-07-08,"","DISIS STAGE"
"GEN-2022-061","","DISIS-2022-001","02 NEBRASKA","Scotts Bluff","NE","WAPA",2025-01-01,2027-04-01,180,180,180,"ER/NR","Solar","","Stegall - Victory Hill 230kV",2022-07-18,"","DISIS STAGE"
"GEN-2022-060","","DISIS-2022-001","04 SOUTHEAST","Osage","OK","AEP",2026-12-31,2027-04-01,55,55,55,"ER/NR","Battery/Storage","","Hwy 20 138 kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-059","","DISIS-2022-001","03 CENTRAL","Stevens","KS","SPS",2025-04-01,2025-12-31,500,500,500,"ER/NR","Wind","","Carpenter 345 kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-058","","DISIS-2022-001","03 CENTRAL","Benton","AR","EDE",2025-04-01,2025-12-31,180,180,180,"ER/NR","Solar","","Noel Southwest (Sub 435) Decatur 161 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-057","","DISIS-2022-001","02 NEBRASKA","","NE","Tri-State",2025-04-01,2025-12-31,87,87,87,"ER/NR","Solar","","Elsie Tap 115 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-056","","DISIS-2022-001","05 SOUTHWEST","Lamb","TX","SPS",2025-04-01,2025-12-31,300,300,300,"ER/NR","Solar","","Plant X 230kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-055","","DISIS-2022-001","04 SOUTHEAST","Grady","OK","WFEC",2025-04-01,2025-12-31,200,200,200,"ER/NR","Solar","","Sunshine North to Anadarko 138 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-054","","DISIS-2022-001","04 SOUTHEAST","Stephens","OK","AEP",2025-04-01,2025-12-31,200,200,200,"ER/NR","Solar","","Lawton to Sunnyside 345 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-053","","DISIS-2022-001","03 CENTRAL","Barton","MO","WERE",2025-04-01,2025-12-31,137.5,137.5,137.5,"ER/NR","Solar","","Wolf Creek-Blackberry 345 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-052","","DISIS-2022-001","04 SOUTHEAST","Bossier","LA","AEP",2025-04-01,2025-12-31,850,850,850,"ER/NR","Solar","","Longwood to Sarepta 345 kV Line Tap",2022-06-23,"","DISIS STAGE"
"GEN-2022-051","","DISIS-2022-001","04 SOUTHEAST","Bossier","LA","AEP",2025-04-01,2025-12-31,325,325,325,"ER/NR","Battery/Storage","","Longwood to Sarepta 345 kV Line Tap",2022-06-23,"","DISIS STAGE"
"GEN-2022-050","","DISIS-2022-001","02 NEBRASKA","Dawson and Buffalo","NE","NPPD",2025-04-01,2025-12-31,272,272,272,"ER/NR","Wind","","Crooked Creek 230 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-049","","DISIS-2022-001","03 CENTRAL","Franklin","AR","AEP",2025-04-01,2025-12-31,150,150,150,"ER/NR","Battery/Storage","","Grand Prairie 138 kV Tap",2022-06-23,"","DISIS STAGE"
"GEN-2022-048","","DISIS-2022-001","04 SOUTHEAST","Woodward","OK","WFEC",2025-04-01,2025-12-31,250,250,250,"ER/NR","Wind","","Mooreland 138 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-047","","DISIS-2022-001","03 CENTRAL","Little River","AR","AEP",2025-04-01,2025-12-31,200,200,200,"ER/NR","Solar","","South Foreman",2022-06-23,"","DISIS STAGE"
"GEN-2022-046","","DISIS-2022-001","02 NEBRASKA","Webster and Franklin","NE","ITCGP",2025-04-01,2025-12-31,150,150,150,"ER/NR","Battery/Storage","","Axtell to Post Rock 345 kV Line Tap",2022-06-23,"","DISIS STAGE"
"GEN-2022-045","","DISIS-2022-001","03 CENTRAL","Little River","AR","AEP",2025-04-01,2025-12-31,200,200,200,"ER/NR","Battery/Storage","","South Foreman",2022-06-23,"","DISIS STAGE"
"GEN-2022-044","","DISIS-2022-001","02 NEBRASKA","Wayne and Pierce","NE","NPPD",2025-04-01,2025-12-31,80,80,80,"ER/NR","Battery/Storage","","Hoskins 345 kV",2022-06-23,"","DISIS STAGE"
"GEN-2022-043","","DISIS-2022-001","05 SOUTHWEST","Briscoe","TX","SPS",2025-04-01,2025-12-31,200,200,200,"ER/NR","Solar","","Tule Canyon (Silverton) 345kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-042","","DISIS-2022-001","04 SOUTHEAST","Carter","OK","OGE",2025-04-01,2025-12-31,174,174,174,"ER/NR","Solar","","Sunnyside to Pooleville 138 kV line",2022-06-23,"","DISIS STAGE"
"GEN-2022-041","","DISIS-2022-001","03 CENTRAL","Cowley","KS","WERE",2025-04-01,2025-12-31,100,100,100,"ER/NR","Solar","","Tie Substation 69 kV",2022-06-29,"","DISIS STAGE"
"GEN-2022-040","","DISIS-2022-001","04 SOUTHEAST","Stephens","OK","WFEC",2025-04-01,2025-12-31,250,250,250,"ER/NR","Solar","","Comanche Switching Station ",2022-06-23,"","DISIS STAGE"
"GEN-2022-039","","DISIS-2022-001","02 NEBRASKA","Gage","NE","NPPD",2025-04-01,2025-12-31,185,185,185,"ER/NR","Wind","","Steele City 115 kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-038","","DISIS-2022-001","05 SOUTHWEST","Harrison","TX","AEP",2025-04-01,2025-12-31,200,200,200,"ER/NR","Solar","","Longwood to Marshall 138 kV line",2022-06-23,"","DISIS STAGE"
"GEN-2022-037","","DISIS-2022-001","01 NORTH","Burke","ND","BEPC",2025-04-01,2025-12-31,181,181,181,"","Wind","","Pioneer 115 kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-036","","DISIS-2022-001","05 SOUTHWEST","Lamb","TX","SPS",2025-04-01,2025-12-31,1000,1000,1000,"ER/NR","Solar","","Tolk 345 kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-035","","DISIS-2022-001","05 SOUTHWEST","Lamb","TX","SPS",2025-04-01,2025-12-31,300,300,300,"ER/NR","Wind","","Tolk 345 kV Substation",2022-06-23,"","DISIS STAGE"
"GEN-2022-034","","DISIS-2022-001","01 NORTH","Union","SD","WAPA",2025-04-01,2025-12-31,300,300,300,"ER/NR","Wind","","Spring Mound Station",2022-06-23,"","DISIS STAGE"
"GEN-2022-033","","DISIS-2022-001","05 SOUTHWEST","Chaves","NM","SPS",2025-11-15,2025-12-01,200,200,200,"ER/NR","Hybrid","Solar/Storage","North Eddy - Chaves 230kV line",2022-06-23,"","DISIS STAGE"
"GEN-2022-032","","DISIS-2022-001","02 NEBRASKA","Kimball","NE","BEPC",2025-01-01,2027-04-01,155,155,155,"ER/NR","Solar","","Laramie-Sidney 345 kV",2022-06-22,"","DISIS STAGE"
"GEN-2022-031","","DISIS-2022-001","03 CENTRAL","Jackson County","MO","GMO",2025-09-30,2026-06-30,100,100,100,"ER/NR","Battery/Storage","","Duncan Road 161 kV Substation",2022-06-22,"","DISIS STAGE"
"GEN-2022-030","","DISIS-2022-001","05 SOUTHWEST","Lea","NM","SPS",2027-10-01,2027-12-01,250,250,250,"NR","Hybrid","Solar/Battery","Tap of Hobbs - Kiowa 345 kV Transmission Line",2022-06-10,"","DISIS STAGE"
"GEN-2022-029","","DISIS-2022-001","05 SOUTHWEST","Lea","NM","SPS",2027-10-01,2027-12-01,250,250,250,"NR","Hybrid","Solar/Battery","Tap of Hobbs - Kiowa 345 kV Transmission Line ",2022-06-10,"","DISIS STAGE"
"GEN-2022-028","","DISIS-2022-001","02 NEBRASKA","Cheyenne","NE","Tri-State",2025-01-01,2027-04-01,125,125,125,"ER/NR","Solar","","Sidney - Stegall 230 kV",2022-06-13,"","DISIS STAGE"
"GEN-2022-027","","DISIS-2022-001","05 SOUTHWEST","Cochran","TX","SPS",2025-01-01,2027-04-04,55,55,55,"ER/NR","Battery/Storage","","Lehman 115 kV Substation",2022-06-13,"","DISIS STAGE"
"GEN-2022-026","","DISIS-2022-001","03 CENTRAL","Decatur","KS","SUNC",2024-06-01,2025-12-31,200,200,200,"NR","Solar","","Tap of Mingo--Red Willow 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-025","","DISIS-2022-001","03 CENTRAL","Decatur","KS","SUNC",2024-06-01,2025-12-31,200,200,200,"NR","Solar","","Tap of Mingo--Red Willow 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-024","","DISIS-2022-001","03 CENTRAL","Decatur","KS","SUNC",2024-06-01,2025-12-31,200,200,200,"NR","Battery/Storage","","Tap of Mingo--Red Willow 345kV line",2022-06-10,"","DISIS STAGE"
"GEN-2022-023","","DISIS-2022-001","05 SOUTHWEST","Chavez","NM","SPS",2024-06-01,2025-12-31,175,175,175,"NR","Battery/Storage","","San Juan Tap 230kv substation",2022-06-08,"","DISIS STAGE"
"GEN-2022-022","","DISIS-2022-001","05 SOUTHWEST","Chavez","NM","SPS",2024-06-01,2025-12-31,300,300,300,"NR","Solar","","San Juan Tap 230kv substation",2022-06-08,"","DISIS STAGE"
"GEN-2022-021","","DISIS-2022-001","01 NORTH","Walworth","SD","BEPC",2024-06-01,2025-12-31,100,100,100,"NR","Battery/Storage","","Tap of Ft Thompson--Leland 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-020","","DISIS-2022-001","01 NORTH","Walworth","SD","BEPC",2024-06-01,2025-12-31,355,355,355,"NR","Solar","","Tap of Ft Thompson--Leland 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-019","","DISIS-2022-001","02 NEBRASKA","Knox","NE","WAPA",2024-06-01,2025-12-31,100,100,100,"NR","Battery/Storage","","Tap of Grand Prairie--Ft Thompson 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-018","","DISIS-2022-001","02 NEBRASKA","Knox","NE","WAPA",2024-06-01,2025-12-31,250,250,250,"NR","Solar","","Tap of Grand Prairie--Ft Thompson 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-017","","DISIS-2022-001","04 SOUTHEAST","Woodward","OK","OGE",2024-06-06,2025-12-31,150,150,150,"NR","Battery/Storage","","Woodward 345kV Substation",2022-06-08,"","DISIS STAGE"
"GEN-2022-016","","DISIS-2022-001","04 SOUTHEAST","Woodward","OK","OGE",2024-06-01,2025-12-31,288,288,288,"NR","Solar","","Woodward 345kV Substation",2022-06-08,"","DISIS STAGE"
"GEN-2022-015","","DISIS-2022-001","03 CENTRAL","Butler","KS","WERE",2024-06-01,2025-12-31,300,300,300,"NR","Solar","","Tap of Wichita-Lang 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-014","","DISIS-2022-001","03 CENTRAL","Butler","KS","WERE",2024-06-01,2025-12-30,400,400,400,"NR","Hybrid","Solar","Tap of Wichita-Lang 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-013","","DISIS-2022-001","03 CENTRAL","Butler","KS","WERE",2024-06-01,2025-12-31,300,300,300,"NR","Solar","","Tap of Wichita-Lang 345kV line",2022-06-08,"","DISIS STAGE"
"GEN-2022-012","","DISIS-2022-001","01 NORTH","Stark","ND","BEPC",2024-06-01,2025-12-31,100,100,100,"NR","Battery/Storage","","230kV Daglum Substation",2022-06-08,"","DISIS STAGE"
"GEN-2022-011","","DISIS-2022-001","01 NORTH","Stark","ND","BEPC",2024-06-01,2025-12-31,374,374,374,"NR","Solar","","230kV Daglum Substation",2022-06-03,"","DISIS STAGE"
"GEN-2022-010","","DISIS-2022-001","01 NORTH","Williams","ND","BEPC",2023-07-01,2025-06-01,250,250,250,"ER","Thermal","","Judson Substation 345 kV",2022-05-26,"","DISIS STAGE"
"GEN-2022-009","","DISIS-2022-001","01 NORTH","Williams","ND","BEPC",2023-07-01,2025-06-01,125,125,125,"ER","Thermal","","Judson Substation 345 kV",2022-05-26,"","DISIS STAGE"
"GEN-2022-008","","DISIS-2022-001","05 SOUTHWEST","Randall","TX","SPS",2025-01-01,2027-04-01,150,150,150,"ER/NR","Solar","","Nichols - Amarillo South 230 kV",2022-05-18,"","DISIS STAGE"
"GEN-2022-007","","DISIS-2022-001","03 CENTRAL","Lyon","KS","WERE",2025-05-01,2026-10-31,135,135,135,"NR","Solar","","Lang 115 kV Substation (533304 LANG 3)",2022-05-26,"","DISIS STAGE"
"GEN-2022-006","","DISIS-2022-001","03 CENTRAL","Labette","KS","WERE",2025-04-01,2026-10-31,200,200,200,"NR","Solar","","Neosho 161 kV Substation (532937 NEOSHO 5)",2022-05-25,"","DISIS STAGE"
"GEN-2022-005","","DISIS-2022-001","03 CENTRAL","Labette","KS","WERE",2025-04-01,2026-10-31,200,200,200,"NR","Solar","","Northeast Parsons 138kV SubstationEPARSN4)",2022-05-25,"","DISIS STAGE"
"GEN-2022-004","","DISIS-2022-001","03 CENTRAL","Sedgwick","KS","WERE",2025-08-01,2026-10-31,33,33,33,"NR","Solar","","Murray Gill 138 kV Substation",2022-05-26,"","DISIS STAGE"
"GEN-2022-003","","DISIS-2022-001","03 CENTRAL","Jackson","OK","AEP",2025-06-30,2026-06-30,125,125,125,"NR","Solar","","Russell 138 kV Substation",2022-05-24,"","DISIS STAGE"
"GEN-2022-002","","DISIS-2022-001","03 CENTRAL","Finney","KS","SUNC",2025-06-30,2026-06-30,150,150,150,"NR","Solar","","Holcomb-Setab 345 kV Tap Line",2022-05-24,"","DISIS STAGE"
"GEN-2022-001","","DISIS-2022-001","04 SOUTHEAST","Rogers","OK","AEP",2025-09-23,2025-12-31,100,100,100,"ER/NR","Battery/Storage","","Line tap of Catoosa-Elm Creek line approximately 0.75 miles NW of Catoosa substation",2021-12-30,"","DISIS STAGE"
"GEN-2021-GR1","","","","Independence","MO","",NA,2024-06-01,88,88,98,"NRIS","","","Blue Valley Station 69 kV",2022-03-31,"","None"
"GEN-2021-108","","DISIS-2021-001","02 NEBRASKA","Cass","NE","OPPD",2025-05-27,2025-05-14,182.25,182.25,182.25,"ER/NR","Solar","","OPPD 345KV Cass County Substation",2021-05-20,"","DISIS STAGE"
"GEN-2021-107","","DISIS-2021-001","03 CENTRAL","Pottawatomie","KS","WERE",2026-10-01,2026-12-01,201.6,201.6,201.6,"ER/NR","Solar","","Evergy 345kV Jeffrey Energy Center",2021-05-20,"","DISIS STAGE"
"GEN-2021-106","","DISIS-2021-001","02 NEBRASKA","Thayer","NE","NPPD",2026-10-30,2026-12-30,102.06,102.06,102.06,"ER/NR","Solar","","Hebron 115Kv substation",2021-05-20,"","DISIS STAGE"
"GEN-2021-105","","DISIS-2021-001","02 NEBRASKA","Lincoln","NE","NPPD",2026-09-05,2027-10-19,200,200,200,"ER/NR","Solar","","Line side tap using three breaker ring bus on 230kV Feeder from Gerald Gentleman to North Platte",2021-05-26,"","DISIS STAGE"
"GEN-2021-104","","DISIS-2021-001","04 SOUTHEAST","Bossier","LA","AEP",2026-09-05,2027-10-19,100,100,100,"ER/NR","Hybrid","Solar/Battery","Direct Injection at 138kV buss at Red Point Substation",2021-05-26,"","DISIS STAGE"
"GEN-2021-103","","DISIS-2021-001","03 CENTRAL","Johnson","KS","WERE",2025-08-01,2026-09-01,150,150,150,"ER/NR","Battery/Storage","","Evergy's Atlantic Substation115kV bus",2021-05-25,"","DISIS STAGE"
"GEN-2021-102","","DISIS-2021-001","03 CENTRAL","Douglas","KS","WERE",2025-08-01,2025-09-01,80,80,80,"ER/NR","Battery/Storage","","Evergy's Midland Substation 115kV bus",2021-05-25,"","DISIS STAGE"
"GEN-2021-101","","DISIS-2021-001","03 CENTRAL","Douglas","KS","WERE",2025-08-01,2025-09-01,159,159,159,"ER/NR","Solar","","Evergy's Midland Substation 115kV bus",2021-05-25,"","DISIS STAGE"
"GEN-2021-100","","DISIS-2021-001","01 NORTH","Mercer","ND","BEPC",2026-09-15,2027-10-19,50,50,50,"ER/NR","Hybrid","Solar/Storage","Line side tap using single breaker on Beulah to Center 42kV Feeder",2021-05-24,"","DISIS STAGE"
"GEN-2021-098","","DISIS-2021-001","04 SOUTHEAST","Dewey","OK","OGE",2026-07-01,2026-12-31,300,300,300,"ER/NR","Wind","","Dewey District 138 kV Substation",2021-05-24,"","DISIS STAGE"
